login-login,name-name,first-first,last-last,prefix-prefix,domain-domain,login-name,name-login,first-last,last-first,login-prefix,prefix-login,domref-name,name-domref,domref-login,login-domref,first-freq-score,last-freq-score,prefix-freq-score,domain-freq-score,label
,0.32,0.09,0.57,0.28,0.18,0.31,,0.09,0.0,0.5,,,0.0,,0.1,1.0,1.660964047443681,1.0,0.3598579245212535,0.0
,0.2,0.0,0.33,0.27,1.0,0.27,,0.2,0.0,0.5,,,,,,1.0,1.660964047443681,1.0,0.17992896226062674,0.0
,0.36,0.14,0.5,0.38,0.13,0.36,,0.67,0.14,0.15,,,0.23,,0.09,1.0,1.0,1.0,0.3598579245212535,0.0
,0.2,0.25,0.14,0.18,1.0,0.33,,0.33,0.38,0.55,,,,,,0.744921859773347,1.0,1.0,0.17992896226062674,0.0
,0.37,0.18,0.57,0.28,1.0,0.38,,0.09,0.12,0.38,,,,,,3.321928094887362,1.660964047443681,3.321928094887362,0.17992896226062674,0.0
,0.27,0.12,0.38,0.38,1.0,0.27,,0.38,0.12,0.38,,,,,,3.321928094887362,1.0,1.0,0.17992896226062674,0.0
,0.2,0.2,0.2,0.2,0.2,0.44,,0.2,0.2,0.57,,,0.14,,0.21,1.0,1.0,1.0,0.3598579245212535,0.0
,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.11,,0.3,0.3,,0.0,1.0,1.0,1.0,1.0,1.0
,0.36,0.6,0.12,0.29,1.0,0.45,,0.17,0.12,0.5,,,,,,3.321928094887362,1.0,1.0,0.17992896226062674,0.0
,0.31,0.33,0.17,0.42,0.21,0.23,,0.67,0.17,0.42,,,0.15,,0.15,1.2850972089384687,1.0,1.0,0.2180999182845727,0.0
,0.35,0.3,0.33,0.31,1.0,0.29,,0.67,0.2,0.31,,,,,,1.0,1.0,1.0,0.17992896226062674,0.0
,0.57,0.67,0.5,0.14,0.73,0.57,,0.25,0.17,0.14,,,,,,1.0,1.0,1.0,0.281133755571806,0.0
,0.62,0.43,0.8,0.09,0.44,0.62,,0.0,0.0,0.09,,0.0,,,,3.321928094887362,0.5,1.0,0.2957762153765198,0.0
,0.31,0.5,0.0,0.42,0.64,0.46,,0.0,0.5,0.33,,,0.1,,0.0,1.0,1.0,1.0,0.3071257102068235,0.0
,0.33,0.5,0.12,0.36,1.0,0.38,,0.5,0.12,0.38,,,,,,1.0,1.0,1.0,0.17992896226062674,0.0
